image	annotation	label_x	label_y	method	valid_response	label
dog/dog_12s.jpg	blanket	blanket			True	blanket
mango/mango_12s.jpg	leaves		leaf	manual	True	leaf
spatula/spatula_12s.jpg	cutting board	cutting_board			True	cutting_board
candelabra/candelabra_14s.jpg	curtains 	curtain			True	curtain
panda/panda_12s.jpg	bamboo	bamboo			True	bamboo
pacifier/pacifier_14s.jpg	fingers people		finger	manual	True	finger
crayfish/crayfish_12s.jpg	grass	grass			True	grass
shirt/shirt_12s.jpg	hanger	hanger			True	hanger
chicken_wire/chicken_wire_12s.jpg	wood	wood			True	wood
cow/cow_12s.jpg	pasture 		grass	manual	True	grass
bib/bib_12s.jpg	bib	bib			True	bib
altar/altar_12s.jpg	candle	candle			True	candle
knife/knife_12s.jpg	wood	wood			True	wood
wheelchair/wheelchair_12n.jpg	windows 	window			True	window
videocassette/videocassette_12n.jpg	calendar 		car	manual	True	car
canoe/canoe_12s.jpg	grass	grass			True	grass
cookie/cookie_15s.jpg	spatula	spatula			True	spatula
ukulele/ukulele_12s.jpg	window	window			True	window
hammock/hammock_12s.jpg	trees	tree			True	tree
dish/dish_12s.jpg	saucer	saucer			True	saucer
rat/rat_12s.jpg	shoulder	shoulder			True	shoulder
blind/blind_19s.jpg	window	window			True	window
treadmill/treadmill_12n.jpg	ne		wall	manual	True	wall
gondola/gondola_12s.jpg	people		arch	manual	True	arch
pear/pear_13s.jpg	leaves		leaf	manual	True	leaf
chess_piece/chess_piece_12s.jpg	pawn		chess_piece	manual	True	chess_piece
asparagus/asparagus_12s.jpg	pan	pan			True	pan
wig/wig_12s.jpg	wall	wall			True	wall
butterfly/butterfly_16n.jpg	rock	rock			True	rock
drawer/drawer_12s.jpg	hand	hand			True	hand
shovel/shovel_12s.jpg	white wall		wall	manual	True	wall
banana/banana_12s.jpg	wood	wood			True	wood
cow/cow_16n.jpg	trees	tree			True	tree
kimono/kimono_14s.jpg	floor		mat	manual	True	mat
breadbox/breadbox_12s.jpg	shelves		shelf	manual	True	shelf
squeegee/squeegee_12n.jpg	floor		wood	manual	True	wood
teapot/teapot_12s.jpg	tea pot	teapot			True	teapot
fudge/fudge_12s.jpg	candy	candy			True	candy
mirror/mirror_12s.jpg	flower	flower			True	flower
forklift/forklift_12s.jpg	storage container		container	manual	True	container
coleslaw/coleslaw_12s.jpg	ne		plate	manual	True	plate
pot/pot_12s.jpg	towel	towel			True	towel
pogo_stick/pogo_stick_12s.jpg	pole	pole			True	pole
blender/blender_12s.jpg	ice	ice			True	ice
sunroof/sunroof_12s.jpg	car	car			True	car
ping-pong_table/ping-pong_table_12s.jpg	paddle	paddle			True	paddle
blackberry/blackberry_12s.jpg	bush	bush			True	bush
sweatsuit/sweatsuit_12s.jpg	person		wall	manual	True	wall
garter/garter_12s.jpg	corsage	corsage			True	corsage
snake/snake_12s.jpg	log	log			True	log
scissors/scissors_12s.jpg	ne		INVALID	manual	True	INVALID
granola/granola_12s.jpg	mason jar		jar	manual	True	jar
hairpin/hairpin_12n.jpg	pearls	pearl			True	pearl
clipboard/clipboard_12s.jpg	pencil	pencil			True	pencil
cranberry/cranberry_12s.jpg	basket	basket			True	basket
blind/blind_12s.jpg	window	window			True	window
radiator/radiator_12s.jpg	stairs	stair			True	stair
raft/raft_12s.jpg	river		sand	manual	True	sand
brownie/brownie_12s.jpg	missing pieces		cookie_sheet	manual	True	cookie_sheet
trashcan/trashcan_12s.jpg	grass	grass			True	grass
dollhouse/dollhouse_12s.jpg	curtains	curtain			True	curtain
glass/glass_12s.jpg	table	table			True	table
beer/beer_14s.jpg	beer mug		hand	manual	True	hand
fondue/fondue_12s.jpg	broccoli	broccoli			True	broccoli
road_sign/road_sign_12s.jpg	poles	pole			True	pole
paperclip/paperclip_12s.jpg	table	table			True	table
boot/boot_12s.jpg	jeans	jeans			True	jeans
bolt/bolt_12s.jpg	table	table			True	table
kazoo/kazoo_12s.jpg	red		plastic_film	manual	True	plastic_film
cage/cage_12s.jpg	wall	wall			True	wall
cufflink/cufflink_16s.jpg	suit	suit			True	suit
wine/wine_12s.jpg	glasses	glasses			True	glasses
steamroller/steamroller_12s.jpg	trees	tree			True	tree
bag/bag_12s.jpg	dinosaurs		plant	manual	True	plant
birdhouse/birdhouse_12s.jpg	tree	tree			True	tree
flower/flower_12s.jpg	ne		leaf	manual	True	leaf
jack/jack_12s.jpg	vehicle 		car	manual	True	car
scoreboard/scoreboard_12s.jpg	tree	tree			True	tree
trap/trap_12s.jpg	field		wood	manual	True	wood
shoe/shoe_12s.jpg	floor 		INVALID	manual	True	INVALID
hanger/hanger_12s.jpg	door	door			True	door
television/television_12s.jpg	wires	wire			True	wire
urinal/urinal_12s.jpg	wall	wall			True	wall
filing_cabinet/filing_cabinet_12s.jpg	floor		wall	manual	True	wall
coat_rack/coat_rack_13s.jpg	shoes	shoe			True	shoe
candle/candle_12n.jpg	mannequin	mannequin			True	mannequin
dishrag/dishrag_12s.jpg	napkins	napkin			True	napkin
iron/iron_12s.jpg	ironing board	ironing_board			True	ironing_board
lamp/lamp_12s.jpg	table	table			True	table
footprint/footprint_15s.jpg	cement		INVALID	manual	True	INVALID
croissant/croissant_12s.jpg	squash	squash			True	squash
artichoke/artichoke_12s.jpg	artichoke	artichoke			True	artichoke
wasp/wasp_15n.jpg	beehive	beehive			True	beehive
mousetrap/mousetrap_12s.jpg	cheese	cheese			True	cheese
anklet/anklet_12s.jpg	foot	foot			True	foot
suit/suit_12s.jpg	man 	man			True	man
overalls/overalls_12s.jpg	girl	girl			True	girl
spoon/spoon_13n.jpg	towel	towel			True	towel
lectern/lectern_12s.jpg	bbc sign		tool	manual	True	tool
gravestone/gravestone_12s.jpg	fence	fence			True	fence
book/book_12s.jpg	pages		wood	manual	True	wood
parachute/parachute_12s.jpg	jumper		man	manual	True	man
jellyfish/jellyfish_12s.jpg	water		INVALID	manual	True	INVALID
cup/cup_12s.jpg	saucer	saucer			True	saucer
airplane/airplane_12n.jpg	sky 		INVALID	manual	True	INVALID
towel/towel_12s.jpg	window	window			True	window
walnut/walnut_12n.jpg	walnut shells		shell3	manual	True	shell3
paint/paint_12s.jpg	paint cups		INVALID	manual	True	INVALID
toilet/toilet_12s.jpg	toilet paper	toilet_paper			True	toilet_paper
nose/nose_12s.jpg	lips		beard	manual	True	beard
roof_rack/roof_rack_12s.jpg	suv		car	manual	True	car
airbag/airbag_12s.jpg	crash test dummy		mannequin	manual	True	mannequin
sandpaper/sandpaper_12s.jpg	hands	hand			True	hand
bus/bus_12n.jpg	building		tree	manual	True	tree
dragonfly/dragonfly_12s.jpg	stem	stem			True	stem
towel_rack/towel_rack_12s.jpg	towel	towel			True	towel
oyster/oyster_12s.jpg	clam	clam			True	clam
wooden_leg/wooden_leg_12s.jpg	ather leg		leg	manual	True	leg
hovercraft/hovercraft_12s.jpg	water		sand	manual	True	sand
rug/rug_12s.jpg	chair	chair			True	chair
strainer/strainer_12s.jpg	tiles	tile			True	tile
fig/fig_12s.jpg	bowl	bowl			True	bowl
confetti/confetti_12s.jpg	graduation caps		arm	manual	True	arm
wallpaper/wallpaper_12s.jpg	jar	jar			True	jar
wheelbarrow/wheelbarrow_12s.jpg	wheel 	wheel			True	wheel
headlamp/headlamp_14s.jpg	belt	belt			True	belt
undershirt/undershirt_12s.jpg	man	man			True	man
television/television_14n.jpg	tv stand		table	manual	True	table
umbrella/umbrella_13s.jpg	lawn		grass	manual	True	grass
pineapple/pineapple_12s.jpg	arm	arm			True	arm
sombrero/sombrero_12s.jpg	hats	hat			True	hat
chili/chili_12s.jpg	pot	pot			True	pot
eyepiece/eyepiece_12s.jpg	table	table			True	table
cupcake/cupcake_12s.jpg	strawberry	strawberry			True	strawberry
footprint/footprint_12s.jpg	sand	sand			True	sand
magnifying_glass/magnifying_glass_12s.jpg	hand	hand			True	hand
caterpillar/caterpillar_12s.jpg	leaf	leaf			True	leaf
meatball/meatball_12s.jpg	scallions 	scallion			True	scallion
axe/axe_14n.jpg	blade		knife	manual	True	knife
bed/bed_12s.jpg	pillows 	pillow			True	pillow
plum/plum_12s.jpg	vine		leaf	manual	True	leaf
cymbal/cymbal_12s.jpg	grass	grass			True	grass
rabbit/rabbit_12n.jpg	grass	grass			True	grass
sloth/sloth_12s.jpg	tree	tree			True	tree
cactus/cactus_12s.jpg	hills		weed	manual	True	weed
mouse1/mouse1_12s.jpg	hand	hand			True	hand
horse/horse_12s.jpg	fence	fence			True	fence
piano/piano_13n.jpg	stool	stool			True	stool
microscope/microscope_14n.jpg	bottle	bottle			True	bottle
tree/tree_12s.jpg	leaf	leaf			True	leaf
roll/roll_12s.jpg	dish	dish			True	dish
guillotine/guillotine_12s.jpg	jhgfd		wall	manual	True	wall
hourglass/hourglass_12s.jpg	book	book			True	book
golf_cart/golf_cart_12s.jpg	grass	grass			True	grass
tumbleweed/tumbleweed_12s.jpg	sky		sand	manual	True	sand
boxing_gloves/boxing_gloves_12s.jpg	laces		INVALID	manual	True	INVALID
seesaw/seesaw_13s.jpg	play ground		sand	manual	True	sand
candelabra/candelabra_12s.jpg	flowers	flower			True	flower
hula_hoop/hula_hoop_16s.jpg	person		woman	manual	True	woman
grits/grits_12s.jpg	cheese	cheese			True	cheese
watch/watch_12s.jpg	wrist	wrist			True	wrist
marijuana/marijuana_12s.jpg	leaves 		bucket	manual	True	bucket
pizza/pizza_12s.jpg	pizza pan		plate	manual	True	plate
coin/coin_12s.jpg	stand		INVALID	manual	True	INVALID
ready_meal/ready_meal_12s.jpg	spaghetti	spaghetti			True	spaghetti
